,기준_날짜,기준_시간대,전체_이용_분,전체_이용_거리,시작_동,종료_동,요일
574925,2024-04-17,1810,18,2210,반포3동,사당2동,수
1653868,2024-04-21,2115,61,8245,반포3동,신길7동,일
1629156,2024-04-21,1930,141,23407,반포3동,여의동,일
20501,2024-04-15,640,3,1680,반포3동,반포3동,월
214630,2024-04-16,1550,8,740,반포1동,반포1동,화
1637468,2024-04-21,2005,5,751,반포1동,반포1동,일
67028,2024-04-15,1810,14,2150,반포4동,반포1동,월
895285,2024-04-18,1800,44,7370,반포4동,여의동,목
1383540,2024-04-20,610,12,350,반포1동,반포1동,토
1516676,2024-04-21,1315,54,7026,반포4동,방배2동,일
1209958,2024-04-19,1655,16,1580,반포1동,논현1동,금
1339890,2024-04-19,2220,45,1956,반포3동,반포2동,금
1548964,2024-04-21,1510,53,11651,반포3동,문래동,일
1669342,2024-04-21,2240,42,8163,반포1동,흑석동,일
1522811,2024-04-21,1340,6,382,반포3동,반포1동,일
46668,2024-04-15,825,3,560,반포1동,반포1동,월
260460,2024-04-16,1800,6,1028,반포4동,반포4동,화
1230315,2024-04-19,1740,28,5330,반포1동,흑석동,금
364527,2024-04-17,5,14,2539,반포4동,방배4동,수
253850,2024-04-16,1745,38,8760,반포3동,잠실7동,화
1538703,2024-04-21,1435,94,17054,반포3동,반포3동,일
1123905,2024-04-19,1120,4,735,반포2동,사당2동,금
1105984,2024-04-19,945,11,1818,반포2동,반포4동,금
1577879,2024-04-21,1640,49,5250,반포1동,반포1동,일
354965,2024-04-16,2245,35,4039,반포2동,서초3동,화
1667482,2024-04-21,2225,7,1531,반포4동,방배본동,일
1618385,2024-04-21,1845,33,5524,반포3동,한강로동,일
866202,2024-04-18,1655,3,496,반포2동,반포4동,목
998036,2024-04-18,2215,36,5189,반포1동,신사동,목
821098,2024-04-18,1355,12,2342,반포1동,서초2동,목
469859,2024-04-17,1150,5,483,반포4동,반포3동,수
