,기준_날짜,기준_시간대,전체_이용_분,전체_이용_거리,시작_동,종료_동,요일
1305223,2024-04-19,2015,24,2740,서초2동,양재1동,금
782352,2024-04-18,1040,10,1100,서초4동,서초4동,목
942879,2024-04-18,1925,16,982,서초1동,서초1동,목
195954,2024-04-16,1420,7,2370,서초2동,서초4동,화
1411797,2024-04-20,1100,6,1080,서초4동,서초2동,토
486891,2024-04-17,1310,6,766,서초2동,서초2동,수
601235,2024-04-17,1850,25,4240,서초2동,방배4동,수
1387411,2024-04-20,720,21,1250,서초2동,서초2동,토
28635,2024-04-15,720,14,2280,서초3동,역삼1동,월
23405,2024-04-15,655,10,2142,서초1동,서초2동,월
1586680,2024-04-21,1705,15,2120,서초4동,서초3동,일
313577,2024-04-16,2000,48,4707,서초2동,서초2동,화
366450,2024-04-17,30,45,7582,서초1동,신림동,수
326961,2024-04-16,2050,74,3439,서초3동,서초3동,화
1204382,2024-04-19,1640,30,5040,서초2동,반포3동,금
699530,2024-04-18,440,84,1911,서초1동,역삼1동,목
453949,2024-04-17,1020,7,1188,서초4동,서초4동,수
894432,2024-04-18,1800,13,2190,서초2동,반포4동,목
1262896,2024-04-19,1835,62,6027,서초4동,서빙고동,금
6206,2024-04-15,120,10,1281,서초3동,서초2동,월
1627033,2024-04-21,1920,31,4339,서초2동,삼성2동,일
306512,2024-04-16,1940,11,1521,서초2동,서초2동,화
1657325,2024-04-21,2135,3,664,서초2동,서초2동,일
1306149,2024-04-19,2020,21,1691,서초3동,서초2동,금
61369,2024-04-15,1725,3,648,서초3동,서초3동,월
1085486,2024-04-19,845,85,3600,서초3동,서초3동,금
543320,2024-04-17,1700,16,1340,서초2동,서초1동,수
618474,2024-04-17,1930,15,2470,서초4동,서초3동,수
1515764,2024-04-21,1315,18,2128,서초3동,역삼1동,일
177815,2024-04-16,1240,5,960,서초3동,서초3동,화
292076,2024-04-16,1900,14,2271,서초2동,반포1동,화
1029318,2024-04-19,240,4,870,서초1동,서초1동,금
930038,2024-04-18,1855,65,14737,서초2동,북아현동,목
653608,2024-04-17,2125,4,830,서초3동,서초3동,수
1027463,2024-04-19,205,11,1355,서초2동,도곡1동,금
1377686,2024-04-20,330,27,3148,서초2동,개포2동,토
132862,2024-04-16,420,3,582,서초2동,역삼1동,화
